type,latitude,longitude,altitude (m),name,desc
W,9.012860000,38.744320000,0.0,WP01-A,
W,9.012860000,38.744240000,,WP02-B,
W,9.012870000,38.744150000,,WP03-C,
W,9.012860000,38.744090000,,WP04-D,
W,9.012860000,38.744020000,,WP05-E,
W,9.012860000,38.743950000,,WP06-F,
W,9.012840000,38.743900000,,WP07-G,
W,9.012830000,38.743780000,,WP08-H,
W,9.012840000,38.743680000,,WP09-I,
W,9.012840000,38.743610000,,WP10-J,
W,9.012820000,38.743540000,,WP11-K,
W,9.012830000,38.743440000,,WP12-L,
W,9.012820000,38.743360000,,WP13-M,
W,9.012800000,38.743270000,,WP14-N,
W,9.012810000,38.743190000,,WP15-O,
W,9.012780000,38.743040000,,WP16-P,
W,9.012780000,38.742890000,,WP17-Q,
W,9.012760000,38.742830000,,WP18-R,
W,9.012750000,38.742730000,,WP19-S,
W,9.012740000,38.742620000,,WP20-T,
W,9.012720000,38.742540000,,WP21-U,
W,9.012720000,38.742430000,,WP22-V,
W,9.012710000,38.742370000,,WP23-W,
W,9.012690000,38.742290000,,WP24-X,
W,9.012680000,38.742200000,,WP25-Y,
W,9.012700000,38.742090000,,WP26-Z,
W,9.012690000,38.742010000,,WP27,
W,9.012680000,38.741890000,,WP28,
W,9.012670000,38.741750000,,WP29,
W,9.012640000,38.741590000,,WP30,
W,9.012640000,38.741450000,,WP31,
W,9.012630000,38.741360000,,WP32,
W,9.012630000,38.741220000,,WP33,
W,9.012630000,38.741110000,,WP34,
W,9.012620000,38.741000000,,WP35,
W,9.012570000,38.740850000,,WP36,
W,9.012590000,38.740690000,,WP37,
W,9.012580000,38.740530000,,WP38,
W,9.012570000,38.740440000,,WP39,
W,9.012570000,38.740320000,,WP40,
W,9.012560000,38.740240000,,WP41,
W,9.012570000,38.740100000,,WP42,
W,9.012600000,38.739960000,,WP43,
W,9.012610000,38.739880000,,WP44,
W,9.012580000,38.739770000,,WP45,
W,9.012600000,38.739680000,,WP46,
W,9.012590000,38.739600000,,WP47,
W,9.012590000,38.739510000,,WP48,
W,9.012600000,38.739420000,,WP49,
W,9.012620000,38.739320000,,WP50,
W,9.012630000,38.739240000,,WP51,
W,9.012660000,38.739160000,,WP52,
W,9.012660000,38.739080000,,WP53,
W,9.012680000,38.738960000,,WP54,
W,9.012710000,38.738800000,,WP55,
