type,latitude,longitude,name,desc
W,9.013020000,38.744890000,WP01-A,
W,9.013190000,38.745060000,WP02-B,
W,9.013390000,38.745180000,WP03-C,
W,9.013590000,38.745280000,WP04-D,
W,9.013790000,38.745370000,WP05-E,
W,9.014030000,38.745450000,WP06-F,
W,9.014290000,38.745550000,WP07-G,
W,9.014560000,38.745620000,WP08-H,
W,9.014790000,38.745690000,WP09-I,
W,9.015050000,38.745770000,WP10-J,
W,9.015330000,38.745850000,WP11-K,
W,9.015600000,38.745920000,WP12-L,
W,9.015870000,38.745980000,WP13-M,
W,9.016170000,38.746070000,WP14-N,
W,9.016440000,38.746130000,WP15-O,
W,9.016740000,38.746220000,WP16-P,
W,9.017050000,38.746310000,WP17-Q,
W,9.017370000,38.746380000,WP18-R,
W,9.017670000,38.746440000,WP19-S,
W,9.017930000,38.746510000,WP20-T,
W,9.018220000,38.746570000,WP21-U,
W,9.018470000,38.746630000,WP22-V,
W,9.018670000,38.746720000,WP23-W,
W,9.018670000,38.746850000,WP24-X,
W,9.018700000,38.746970000,WP25-Y,
W,9.018720000,38.747080000,WP26-Z,
W,9.018720000,38.747200000,WP27,
W,9.018670000,38.747280000,WP28,
W,9.018730000,38.747490000,WP29,
W,9.018720000,38.747680000,WP30,
W,9.018730000,38.747830000,WP31,
W,9.018740000,38.747980000,WP32,
W,9.018750000,38.748130000,WP33,
W,9.018750000,38.748330000,WP34,
W,9.018790000,38.748480000,WP35,
W,9.018820000,38.748610000,WP36,
W,9.018830000,38.748750000,WP37,
W,9.018830000,38.748860000,WP38,
W,9.018850000,38.748990000,WP39,
W,9.018850000,38.749160000,WP40,
W,9.018880000,38.749320000,WP41,
W,9.018920000,38.749480000,WP42,
W,9.018900000,38.749660000,WP43,
W,9.018940000,38.749790000,WP44,
W,9.018940000,38.749920000,WP45,
W,9.018930000,38.750030000,WP46,
W,9.018950000,38.750190000,WP47,
W,9.018970000,38.750360000,WP48,
W,9.018990000,38.750480000,WP49,
W,9.018990000,38.750570000,WP50,
W,9.018980000,38.750700000,WP51,
W,9.019000000,38.750830000,WP52,
W,9.019010000,38.750980000,WP53,
W,9.019000000,38.751150000,WP54,
W,9.019060000,38.751290000,WP55,
W,9.019060000,38.751520000,WP56,
W,9.019090000,38.751690000,WP57,
W,9.019100000,38.751860000,WP58,
W,9.019150000,38.752020000,WP59,
W,9.019160000,38.752190000,WP60,
W,9.019120000,38.752300000,WP61,
W,9.019250000,38.752430000,WP62,
W,9.019490000,38.752410000,WP63,
W,9.019720000,38.752390000,WP64,
W,9.019970000,38.752360000,WP65,
W,9.020240000,38.752330000,WP66,
W,9.020490000,38.752320000,WP67,
W,9.020790000,38.752300000,WP68,
W,9.021040000,38.752280000,WP69,
W,9.021290000,38.752250000,WP70,
W,9.021550000,38.752220000,WP71,
W,9.021800000,38.752200000,WP72,
W,9.022040000,38.752180000,WP73,
W,9.022280000,38.752170000,WP74,
W,9.022550000,38.752140000,WP75,
W,9.022810000,38.752130000,WP76,
W,9.023070000,38.752090000,WP77,
W,9.023320000,38.752050000,WP78,
W,9.023560000,38.752050000,WP79,
W,9.023810000,38.752040000,WP80,
W,9.024080000,38.752000000,WP81,
W,9.024370000,38.751950000,WP82,
W,9.024620000,38.751930000,WP83,
W,9.024910000,38.751900000,WP84,
W,9.025000000,38.752000000,WP85,
W,9.025040000,38.752100000,WP86,
W,9.025040000,38.752180000,WP87,
W,9.025070000,38.752270000,WP88,
W,9.025140000,38.752430000,WP89,
W,9.025180000,38.752520000,WP90,
W,9.025190000,38.752620000,WP91,
W,9.025230000,38.752710000,WP92,
W,9.025290000,38.752830000,WP93,
W,9.025320000,38.752920000,WP94,
W,9.025410000,38.753010000,WP95,
W,9.025460000,38.753130000,WP96,
W,9.025560000,38.753240000,WP97,
W,9.025620000,38.753340000,WP98,
W,9.025730000,38.753450000,WP99,
W,9.025810000,38.753570000,WP100,
W,9.025950000,38.753680000,WP101,
W,9.026100000,38.753770000,WP102,
W,9.026200000,38.753870000,WP103,
W,9.026350000,38.753970000,WP104,
W,9.026460000,38.754060000,WP105,
W,9.026540000,38.754140000,WP106,
W,9.026570000,38.754210000,WP107,
W,9.026560000,38.754300000,WP108,
W,9.026560000,38.754390000,WP109,
W,9.026550000,38.754510000,WP110,
W,9.026540000,38.754570000,WP111,
W,9.026540000,38.754690000,WP112,
W,9.026540000,38.754770000,WP113,
W,9.026560000,38.754960000,WP114,
W,9.026540000,38.755050000,WP115,
W,9.026560000,38.755180000,WP116,
W,9.026570000,38.755340000,WP117,
W,9.026590000,38.755480000,WP118,
W,9.026580000,38.755600000,WP119,
W,9.026580000,38.755720000,WP120,
W,9.026590000,38.755900000,WP121,
W,9.026590000,38.756040000,WP122,
W,9.026620000,38.756180000,WP123,
W,9.026640000,38.756280000,WP124,
W,9.026630000,38.756360000,WP125,
W,9.026630000,38.756450000,WP126,
W,9.026680000,38.756620000,WP127,
W,9.026700000,38.756760000,WP128,
W,9.026740000,38.756870000,WP129,
W,9.026780000,38.757000000,WP130,
W,9.026820000,38.757080000,WP131,
W,9.026860000,38.757210000,WP132,
W,9.026930000,38.757400000,WP133,
